,widths,heights
692,248,80
693,317,78
694,230,90
695,302,70
696,466,83
697,254,130
698,28,77
699,286,69
700,144,54
701,149,85
702,128,61
703,93,75
704,198,87
705,419,82
706,286,107
707,323,71
708,277,144
709,29,72
710,282,100
711,72,54
712,50,81
713,162,77
714,63,72
715,206,68
716,190,86
717,69,64
718,256,79
719,37,48
720,292,51
721,211,48
722,81,95
723,227,61
724,100,93
725,116,74
726,137,140
727,43,77
728,270,90
729,271,89
730,65,65
731,304,115
732,206,190
733,87,45
734,232,84
735,307,100
736,57,69
737,317,76
738,240,76
739,16,35
740,134,86
741,89,67
742,276,113
743,352,157
744,16,37
745,185,84
746,120,71
747,249,87
748,11,26
749,47,82
750,227,163
751,79,48
752,40,49
753,213,165
754,74,102
755,199,200
756,9,11
757,109,74
758,180,101
759,273,71
760,312,62
761,211,106
762,65,64
763,424,111
764,126,61
765,298,59
766,254,60
767,101,30
768,148,68
769,571,79
770,258,116
771,14,23
772,205,81
773,119,60
774,438,82
775,170,64
776,253,107
777,7,53
778,20,37
779,92,52
780,204,67
781,95,55
782,289,73
783,214,80
784,99,59
785,96,64
786,82,130
787,135,67
788,265,104
789,450,108
790,206,106
791,94,75
792,89,62
793,113,83
794,145,91
795,180,73
796,132,68
797,245,66
798,157,104
799,365,114
800,9,21
801,223,60
802,149,40
803,280,75
804,77,77
805,90,74
806,614,106
807,11,30
808,24,71
809,428,119
810,125,84
811,225,107
812,206,146
813,189,100
814,10,36
815,137,58
816,271,109
817,451,120
818,9,44
819,448,134
820,117,86
821,198,140
822,64,30
823,233,135
824,96,29
825,125,88
826,248,71
827,213,95
828,112,64
829,476,94
830,95,61
831,390,126
832,8,17
833,141,66
834,259,112
835,242,67
836,339,63
837,237,74
838,62,61
839,448,106
840,164,52
841,256,53
842,201,62
843,77,35
844,166,60
845,709,77
846,199,54
847,11,12
848,216,63
849,124,58
850,390,71
851,149,61
852,219,84
853,15,23
854,22,27
855,112,51
856,168,64
857,78,56
858,276,63
859,198,63
860,76,54
861,93,49
862,71,70
863,161,52
864,297,64
865,583,56
866,10,12
867,24,25
868,435,86
869,150,57
870,252,89
871,245,73
872,189,50
873,9,25
874,134,64
875,219,77
876,489,69
877,11,39
878,446,61
879,115,57
880,220,71
881,55,35
882,260,70
883,99,38
884,117,54
885,180,55
886,175,60
887,120,66
888,400,63
889,87,58
890,361,61
891,11,9
892,126,118
893,224,166
894,252,85
895,295,83
896,218,142
897,83,65
898,417,148
899,112,82
900,291,91
901,217,82
902,106,51
903,122,60
904,605,96
905,253,159
906,8,7
907,190,88
908,168,80
909,469,96
910,175,75
911,245,131
912,8,7
913,27,40
914,90,116
915,193,65
916,44,75
917,313,67
918,216,75
919,71,67
920,99,69
921,94,118
922,129,64
923,311,96
924,540,181
925,270,125
926,93,61
927,62,66
928,126,86
929,201,145
930,163,79
931,115,63
932,227,76
933,185,147
934,326,144
935,10,6
936,219,85
937,119,42
938,259,71
939,65,83
940,77,80
941,640,79
942,5,6
943,26,28
944,475,167
945,145,84
946,245,143
947,228,164
948,178,63
949,35,42
950,144,85
951,266,164
952,459,161
953,33,44
954,460,128
955,121,91
956,224,83
957,50,53
958,287,115
959,116,51
960,125,79
961,231,72
962,201,75
963,161,97
964,507,95
965,101,68
966,451,156
967,6,8
968,91,75
969,284,65
970,158,62
971,75,33
972,125,60
973,93,57
974,312,83
975,76,48
976,297,76
977,194,66
978,224,72
979,99,65
980,173,53
981,173,58
982,142,64
983,219,59
984,85,58
985,7,4
986,70,63
987,103,59
988,116,38
989,301,54
990,91,56
991,113,84
992,209,81
993,45,65
994,99,70
995,291,77
996,140,48
997,230,67
998,322,112
999,8,6
1000,190,76
1001,197,81
1002,77,48
1003,107,60
1004,135,97
1005,100,59
1006,279,81
1007,106,65
1008,209,62
1009,287,100
1010,131,95
1011,101,39
1012,244,111
1013,12,11
1014,271,90
1015,317,89
1016,99,42
1017,306,122
1018,154,65
1019,200,126
1020,13,13
1021,115,58
1022,328,87
1023,105,61
1024,172,58
1025,56,60
1026,269,64
1027,111,70
1028,292,84
1029,80,81
1030,67,47
1031,338,73
1032,212,60
1033,89,79
1034,191,79
1035,9,7
1036,104,57
1037,330,61
1038,199,52
1039,82,27
1040,167,62
1041,148,46
1042,400,65
1043,82,59
1044,398,61
1045,277,48
1046,288,76
1047,135,49
1048,221,67
1049,232,57
1050,167,49
1051,226,49
1052,80,39
1053,9,7
1054,109,51
1055,128,49
1056,163,37
1057,334,49
1058,128,54
1059,135,65
1060,204,53
1061,83,48
1062,159,63
1063,282,67
1064,165,54
1065,259,64
1066,395,93
1067,15,12
1068,292,70
1069,232,52
1070,100,50
1071,124,57
1072,190,78
1073,146,58
1074,331,72
1075,175,60
1076,272,62
1077,377,95
1078,169,75
1079,126,47
1080,306,99
1081,9,11
1082,322,69
1083,444,76
1084,121,37
1085,389,100
1086,201,59
1087,254,67
1088,9,11
1089,208,60
1090,440,69
1091,165,57
1092,202,54
1093,68,47
1094,300,59
1095,159,58
1096,304,79
1097,86,64
1098,45,26
1099,354,72
1100,298,57
1101,97,79
1102,250,69
1103,10,11
1104,92,67
1105,253,71
1106,149,58
1107,74,30
1108,149,52
1109,82,53
1110,327,85
1111,83,57
1112,297,68
1113,166,70
1114,218,97
1115,85,63
1116,174,44
1117,195,58
1118,126,59
1119,175,72
1120,62,55
1121,8,9
1122,66,67
1123,97,69
1124,122,40
1125,240,62
1126,83,59
1127,109,86
1128,151,90
1129,51,76
1130,86,73
1131,265,87
1132,120,60
1133,224,69
1134,290,99
1135,10,6
1136,201,72
1137,158,88
1138,75,59
1139,101,60
1140,117,79
1141,78,65
1142,249,80
1143,70,59
1144,193,56
1145,217,65
1146,108,90
1147,123,77
1148,112,41
1149,239,94
1150,9,7
1151,232,99
1152,285,88
1153,105,46
1154,279,100
1155,151,64
1156,164,95
1157,10,7
1158,112,61
1159,316,80
1160,117,59
1161,177,55
1162,57,69
1163,217,71
1164,89,74
1165,278,113
1166,76,93
1167,51,33
1168,268,96
1169,175,77
1170,76,86
1171,205,93
1172,7,9
1173,101,67
1174,101,61
1175,270,64
1176,30,22
1177,107,57
1178,256,54
1179,269,110
1180,20,20
1181,220,49
1182,46,62
1183,101,59
1184,282,63
1185,123,63
1186,186,88
1187,135,54
1188,139,57
1189,127,62
1190,134,72
1191,154,60
1192,389,83
1193,67,30
1194,251,66
1195,323,67
1196,202,93
1197,7,5
1198,102,58
1199,248,57
1200,298,68
1201,328,86
1202,50,52
1203,221,54
1204,119,59
1205,134,70
1206,304,88
1207,65,82
1208,92,55
1209,101,55
1210,148,43
1211,220,62
1212,226,76
1213,33,10
1214,98,61
1215,226,59
1216,237,54
1217,150,107
1218,132,39
1219,104,52
1220,271,71
1221,159,102
1222,8,6
1223,112,65
1224,447,66
1225,82,77
1226,70,65
1227,107,101
1228,278,94
1229,28,29
1230,174,57
1231,229,58
1232,74,71
1233,95,54
1234,214,60
1235,238,85
1236,377,74
1237,45,34
1238,110,54
1239,52,66
1240,249,81
1241,80,61
1242,95,57
1243,350,54
1244,84,80
1245,164,59
1246,129,53
1247,73,63
1248,321,62
1249,13,7
1250,132,67
1251,127,66
1252,339,57
1253,16,29
1254,162,47
1255,329,75
1256,368,82
1257,19,39
1258,315,65
1259,61,67
1260,165,53
1261,382,57
1262,161,61
1263,197,79
1264,158,48
1265,196,55
1266,229,44
1267,213,54
1268,261,57
1269,491,78
1270,72,28
1271,337,61
1272,462,72
1273,239,73
1274,11,8
1275,174,73
1276,325,68
1277,420,70
1278,473,74
1279,70,67
1280,260,49
1281,133,46
1282,191,54
1283,436,82
1284,105,75
1285,157,57
1286,160,51
1287,215,63
1288,322,78
1289,248,80
1290,26,10
1291,155,52
1292,281,63
1293,343,75
1294,246,91
1295,165,64
1296,127,53
1297,339,65
1298,259,90
1299,10,11
1300,205,70
1301,643,83
1302,99,65
1303,130,65
1304,169,98
1305,434,70
1306,9,28
1307,306,69
1308,300,61
1309,85,71
1310,140,66
1311,259,61
1312,256,67
1313,491,66
1314,7,22
1315,221,64
1316,78,48
1317,369,92
1318,92,51
1319,155,55
1320,420,57
1321,136,73
1322,203,60
1323,182,69
1324,123,76
1325,397,83
1326,10,15
1327,153,93
1328,192,100
1329,318,89
1330,27,39
1331,127,64
1332,294,96
1333,380,187
1334,33,42
1335,236,74
1336,88,62
1337,116,67
1338,322,77
1339,175,71
1340,238,148
1341,206,59
1342,201,75
1343,173,71
1344,172,76
1345,247,65
1346,450,134
1347,77,44
1348,112,62
1349,378,84
1350,382,84
1351,245,155
1352,9,9
1353,138,99
1354,333,85
1355,362,85
1356,389,120
1357,80,54
1358,307,216
1359,152,75
1360,185,73
1361,386,162
1362,112,169
1363,87,76
1364,112,74
1365,186,50
1366,447,176
1367,281,62
1368,41,7
1369,86,63
1370,281,75
1371,328,78
1372,227,144
1373,162,76
1374,117,64
1375,440,87
1376,209,170
1377,10,12
1378,205,84
1379,539,116
1380,89,147
1381,162,103
1382,170,179
1383,374,164
1384,31,46
1385,224,82
1386,346,85
1387,94,116
1388,111,66
1389,322,86
1390,328,164
1391,424,95
1392,28,42
1393,188,51
1394,48,58
1395,322,141
1396,100,75
1397,107,72
1398,407,71
1399,133,120
1400,229,83
1401,164,82
1402,130,78
1403,445,108
1404,9,11
1405,289,62
1406,297,70
1407,52,61
1408,40,39
1409,240,64
1410,65,73
1411,106,67
1412,306,68
1413,5,4
1414,98,64
1415,222,73
1416,111,37
1417,105,62
1418,1,1
1419,74,62
1420,417,67
1421,243,73
1422,8,9
1423,123,73
1424,63,55
1425,126,60
1426,143,58
1427,264,92
1428,15,29
1429,24,23
1430,21,67
1431,163,60
1432,79,38
1433,241,89
1434,56,72
1435,156,54
1436,355,85
1437,7,10
1438,19,20
1439,87,56
1440,132,57
1441,210,66
1442,132,66
1443,69,35
1444,338,94
1445,62,57
1446,242,71
1447,109,60
1448,177,57
1449,309,80
1450,9,9
1451,115,76
1452,113,79
1453,158,82
1454,205,71
1455,237,61
1456,139,65
1457,106,54
1458,171,75
1459,277,103
1460,6,8
1461,65,69
1462,158,61
1463,292,98
1464,7,20
1465,263,81
1466,251,65
1467,339,70
1468,1,1
1469,128,65
1470,102,60
1471,113,101
1472,123,78
1473,80,40
1474,145,96
1475,55,57
1476,143,93
1477,219,67
1478,66,68
1479,100,66
1480,140,65
1481,81,88
1482,261,105
1483,74,57
1484,97,69
1485,187,70
1486,108,66
1487,285,65
1488,163,62
1489,8,9
1490,304,64
1491,376,60
1492,52,58
1493,58,33
1494,265,58
1495,85,62
1496,128,51
1497,393,62
1498,10,13
1499,130,58
1500,347,58
1501,153,36
1502,121,51
1503,75,47
1504,141,49
1505,410,51
1506,268,88
1507,9,10
1508,184,66
1509,86,46
1510,147,47
1511,179,71
1512,391,75
1513,11,25
1514,22,22
1515,35,61
1516,210,52
1517,79,35
1518,445,74
1519,82,63
1520,258,56
1521,455,77
1522,9,8
1523,23,22
1524,104,51
1525,191,54
1526,315,74
1527,142,51
1528,86,31
1529,374,79
1530,92,54
1531,278,55
1532,157,59
1533,282,57
1534,439,57
1535,11,11
1536,168,64
1537,146,46
1538,173,67
1539,332,67
1540,443,62
1541,167,69
1542,162,46
1543,294,61
1544,374,53
1545,11,8
1546,147,60
1547,261,75
1548,419,87
1549,11,34
1550,338,73
1551,308,63
1552,443,66
1553,14,31
1554,202,58
1555,133,58
1556,185,92
1557,146,44
1558,75,37
1559,177,79
1560,69,49
1561,207,65
1562,342,57
1563,78,68
1564,165,57
1565,206,45
1566,109,56
1567,323,103
1568,62,55
1569,100,57
1570,273,53
1571,157,55
1572,400,62
1573,256,62
1574,9,10
1575,290,96
1576,303,72
1577,45,55
1578,44,34
1579,265,61
1580,74,84
1581,84,55
1582,172,65
1583,189,66
1584,10,7
1585,98,67
1586,251,80
1587,111,38
1588,120,63
1589,78,62
1590,81,67
1591,338,54
1592,267,101
1593,7,7
1594,124,70
1595,60,66
1596,126,68
1597,230,57
1598,292,87
1599,9,25
1600,30,30
1601,28,63
1602,133,76
1603,61,37
1604,319,107
1605,70,88
1606,201,63
1607,383,94
1608,7,7
1609,35,25
1610,76,60
1611,157,66
1612,237,70
1613,124,61
1614,78,42
1615,300,87
1616,53,57
1617,273,54
1618,88,68
1619,220,74
1620,420,69
1621,71,65
1622,244,67
1623,55,31
1624,321,90
1625,39,38
1626,267,79
1627,247,67
1628,336,78
1629,16,40
1630,146,58
1631,104,57
1632,101,77
1633,120,56
1634,69,40
1635,178,89
1636,54,67
1637,167,103
1638,257,58
1639,63,59
1640,87,64
1641,165,74
1642,82,94
1643,293,107
1644,52,63
1645,100,65
1646,198,65
1647,104,71
1648,333,96
1649,164,67
1650,7,6
1651,111,72
1652,308,74
1653,345,117
1654,134,60
1655,159,60
1656,452,73
1657,240,140
1658,174,65
1659,289,125
1660,77,59
1661,290,80
1662,150,70
1663,255,78
1664,303,70
1665,119,85
1666,138,126
1667,192,70
1668,267,121
1669,413,86
1670,166,67
1671,184,109
1672,148,56
1673,482,106
1674,188,42
1675,14,32
1676,504,136
1677,181,133
1678,10,31
1679,16,88
1680,333,120
1681,399,115
1682,83,64
1683,149,70
1684,254,74
1685,289,124
1686,153,127
1687,265,76
1688,93,32
1689,133,66
1690,481,83
1691,97,63
1692,234,49
1693,136,81
1694,512,135
1695,190,85
1696,120,86
1697,207,139
1698,647,152
1699,11,44
1700,128,66
1701,294,115
1702,487,115
1703,9,28
1704,105,82
1705,174,43
1706,104,72
1707,219,62
1708,222,100
1709,178,79
1710,412,64
1711,7,20
1712,225,105
1713,226,81
1714,224,110
1715,400,126
1716,201,83
1717,23,33
1718,345,131
1719,258,87
1720,18,32
1721,149,69
1722,17,33
1723,216,83
1724,188,82
1725,774,99
1726,24,34
1727,537,124
1728,99,135
1729,114,86
1730,219,143
1731,337,83
1732,556,120
1733,105,100
1734,185,83
1735,255,71
1736,10,28
1737,109,129
1738,257,133
1739,197,166
1740,82,102
1741,95,112
1742,250,115
1743,194,165
1744,109,120
1745,223,131
1746,65,110
1747,172,113
1748,76,93
1749,123,100
1750,219,116
1751,84,92
1752,97,163
1753,101,117
1754,130,146
1755,219,95
1756,93,96
1757,113,130
1758,73,93
1759,280,111
1760,141,55
1761,19,57
1762,385,164
1763,8,45
1764,13,107
1765,207,153
1766,222,165
1767,50,103
1768,58,87
1769,117,101
1770,217,151
1771,174,106
1772,45,37
1773,87,89
1774,266,109
1775,51,99
1776,119,53
1777,72,95
1778,249,150
1779,117,101
1780,74,94
1781,260,134
1782,289,149
1783,18,45
1784,92,92
1785,171,112
1786,255,128
1787,8,16
1788,65,102
1789,77,57
1790,69,103
1791,243,160
1792,123,128
1793,267,119
1794,5,13
1795,111,127
1796,141,93
1797,95,123
1798,223,138
1799,120,103
1800,20,43
1801,175,146
1802,155,129
1803,29,86
1804,36,73
1805,138,96
1806,128,126
1807,414,119
1808,36,35
1809,259,136
1810,58,144
1811,68,80
1812,142,137
1813,195,121
1814,256,110
1815,26,66
1816,60,84
1817,124,102
1818,6,4
1819,333,141
1820,222,91
1821,110,92
1822,360,92
1823,210,97
1824,182,99
1825,266,52
1826,253,170
1827,8,15
1828,379,119
1829,416,153
1830,233,160
1831,362,170
1832,111,105
1833,622,161
1834,110,162
1835,44,37
1836,240,153
1837,96,39
1838,127,112
1839,387,173
1840,396,121
1841,8,7
1842,88,95
1843,163,113
1844,401,117
1845,299,163
1846,498,160
1847,219,159
1848,99,99
1849,461,164
1850,397,143
1851,135,167
1852,116,99
1853,206,189
1854,279,106
1855,11,22
1856,130,97
1857,236,113
1858,86,101
1859,123,94
1860,266,104
1861,304,89
1862,117,169
1863,179,102
1864,202,194
1865,7,8
1866,146,107
1867,100,181
1868,143,108
1869,235,111
1870,226,103
1871,61,115
1872,91,110
1873,127,70
1874,202,107
1875,102,94
1876,130,48
1877,314,89
1878,783,122
1879,132,103
1880,608,198
1881,219,110
1882,249,118
1883,443,198
1884,392,176
1885,14,9
1886,981,148
1887,341,71
1888,203,50
1889,74,53
1890,359,60
1891,245,66
1892,141,67
1893,278,46
1894,259,57
1895,9,11
1896,445,67
1897,346,63
1898,231,76
1899,369,68
1900,162,44
1901,471,75
1902,73,63
1903,50,35
1904,215,66
1905,81,32
1906,120,61
1907,349,97
1908,284,71
1909,9,8
1910,52,53
1911,117,58
1912,329,51
1913,227,70
1914,388,84
1915,167,69
1916,153,52
1917,436,75
1918,324,51
1919,78,61
1920,122,61
1921,210,63
1922,259,55
1923,10,10
1924,191,59
1925,210,53
1926,59,59
1927,127,55
1928,242,66
1929,62,29
1930,265,52
1931,74,80
1932,165,57
1933,189,61
1934,10,6
1935,173,62
1936,66,68
1937,110,55
1938,204,57
1939,130,58
1940,96,56
1941,75,52
1942,149,36
1943,201,56
1944,72,58
1945,89,35
1946,276,67
1947,566,65
1948,70,59
1949,532,67
1950,179,54
1951,241,56
1952,342,95
1953,317,86
1954,10,11
1955,247,158
1956,174,129
1957,70,122
1958,254,121
1959,155,118
1960,117,106
1961,195,51
1962,173,206
1963,6,7
1964,432,126
1965,368,125
1966,161,162
1967,176,120
1968,86,105
1969,337,170
1970,79,135
1971,34,42
1972,147,165
1973,61,55
1974,84,112
1975,169,157
1976,187,121
1977,6,13
1978,33,112
1979,83,113
1980,194,104
1981,134,149
1982,249,154
1983,110,136
1984,67,109
1985,331,150
1986,201,101
1987,75,141
1988,62,141
1989,119,176
1990,164,127
1991,8,12
1992,85,97
1993,137,97
1994,36,85
1995,98,108
1996,203,133
1997,205,97
1998,70,120
1999,106,89
2000,112,116
2001,11,14
2002,98,88
2003,86,135
2004,85,99
2005,133,111
2006,120,117
2007,56,106
2008,61,102
2009,84,48
2010,126,96
2011,47,71
2012,63,49
2013,159,94
2014,350,104
2015,41,90
2016,267,113
2017,101,92
2018,118,112
2019,157,158
2020,222,149
2021,8,5
2022,303,118
2023,226,94
2024,330,117
2025,102,150
2026,426,151
2027,287,161
2028,93,134
2029,101,92
2030,446,136
2031,98,152
2032,245,169
2033,38,44
2034,376,107
2035,366,113
2036,105,102
2037,142,45
2038,20,22
2039,305,106
2040,462,155
2041,236,169
2042,18,22
2043,172,97
2044,246,87
2045,158,47
2046,197,94
2047,515,104
2048,491,194
2049,4,5
2050,110,108
2051,278,94
2052,374,139
2053,427,107
2054,19,46
2055,205,98
2056,66,81
2057,248,117
2058,118,166
2059,350,107
2060,394,105
2061,332,123
2062,9,5
2063,222,126
2064,324,118
2065,21,29
2066,113,165
2067,379,171
2068,28,14
2069,194,98
2070,248,162
2071,122,96
2072,289,117
2073,322,90
2074,57,101
2075,359,117
2076,463,97
2077,650,164
2078,6,12
2079,305,102
2080,401,106
2081,175,101
2082,417,117
2083,91,107
2084,195,110
2085,233,101
2086,54,51
2087,202,117
2088,68,115
2089,126,96
2090,353,165
2091,341,138
2092,95,96
2093,240,98
2094,343,116
2095,296,105
2096,531,162
2097,279,90
2098,466,95
2099,368,148
2100,8,6
2101,341,60
2102,207,55
2103,331,59
2104,19,28
2105,76,61
2106,358,57
2107,15,27
2108,301,65
2109,125,74
2110,135,52
2111,354,92
2112,86,69
2113,258,78
2114,61,31
2115,377,56
2116,410,54
2117,57,59
2118,143,36
2119,27,21
2120,280,61
2121,438,81
2122,214,81
2123,24,20
2124,157,45
2125,259,48
2126,190,36
2127,147,41
2128,449,61
2129,435,75
2130,10,12
2131,178,61
2132,296,55
2133,278,89
2134,405,73
2135,9,26
2136,255,54
2137,71,65
2138,283,40
2139,95,64
